#
#	Japanese NetHack Copyright (c) Issei Numata 1994 
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
*flint:		火打ち石:
*rock:		石:
# 追加 by Ooi Takefumi
*stone of health:	活力の石:
*stone of rotting:	腐敗の石:
#
#	miscellaneous
#
'boulder:		岩:
'statue:		像:
0heavy iron ball:	重い鉄球:
_iron chain:		鉄の鎖:
'blinding venom:	盲目の毒液:
'splash of venom:	毒液のしぶき:
'acid venom:		酸の毒液:
#
#	samurai's item
#
)wakizashi:	脇差し:
)ninja-to:	忍者刀:
)nunchaku:	ヌンチャク:
)naginata:	なぎなた:
)ya:		矢:
(osaku:		おさく:
(koto:		琴:
)shito:		刺刀:
]tanko:		短甲:
]kabuto:	兜:
]yugake:	弓懸:
%gunyoki:	丸薬:
!sake:		酒:
#
#	artifacts
#
AExcalibur:		エクスカリバー:
AStormbringer:		ストームブリンガー:
AMjollnir:		ミュルニール:	
ACleaver:		クリーバー:
AGrimtooth:		グリムトゥース:
AOrcrist:		オークリスト:
ASting:			スティング:
AMagicbane:		マジックベーン:
AFrost Brand:		フロストブランド:
AFire Brand:		ファイアブランド:
ADragonbane:		ドラゴンベーン:
ADemonbane:		デーモンベーン:
AWerebane:		ウェアベーン:
AGrayswandir:		グレイスワンダー:
AGiantslayer:		ジャイアントスレイヤー:
AOgresmasher:		オーガスマッシャー:
ATrollsbane:		トロルスベーン:
AVorpal Blade:		ボーパルブレード:
ASnickersnee:		スニッカーズニー:
ASunsword:		サンソード:
# 追加 by Ooi Takefumi
AHoly Sword of Law:     秩序の聖剣:
AHoly Spear of Light:	光の聖槍:
ASkullcrusher:		スカルクラッシャー:
AQuick Blade:		クイックブレード:
AFire Dagger:		ファイアダガー:
AFirebiter:		ファイアバイター:
ASword of Balance:	調和の剣:
AGiantkiller:		ジャイアントキラー:
ALuckblade:		ラックブレード:
ADisrupter:		ディスラプター:
AMirrorbright:		ミラーブライト:
ADeluder:		ディルダー:
AWhisperfeet:		ウィスパーフィート:
AGraywand:		グレイワンド:
AHeartseeker:		ハートシーカー:
AScalpel:		スカルペル:
ACat's Claw:		キャッツ・クロウ:
ASerpent's Tongue:	サーペンツ・タン:
ADoomblade:		ドゥームブレード:
AElfrist:		エルフリスト:
AThiefbane:		シーフベーン:
AIcebiter:		アイスバイター:
ADeathsword:		デスソード:
ABat from Hell:		地獄のバット:
AThe Eye of Vecna:	ヴェクナの目:
AThe Hand of Vecna:	ヴェクナの手:
AGauntlets of Defense:  守りの小手:
AElfslayer:		エルフスレイヤー:
AHoly Sword:		聖剣:

# A
AThe Orb of Detection:		探索のオーブ:
# B
AThe Heart of Ahriman:		アーリマンの心臓:
# C
AThe Sceptre of Might:		権力の笏:
# D
AThe Medallion of Shifters:	シフターのメダル:
# E
AThe Palantir of Westernesse:	パランティアの石:
AThe Tentacle Staff:		触手の杖:
# F
AThe Candle of Eternal Flame:	永燃のロウソク:
# G
AThe Pick of Flandal Steelskin:	フランダルスティールスキンの爪:
# H
AThe Staff of Aesculapius:	アエスキュラピスの杖:
# I
AThe Storm Whistle:		嵐の魔笛:
# J
AThe Silver Crystal:		幻の銀水晶:
# K
AThe Magic Mirror of Merlin:	マーリンの魔法の鏡:
# L
AThe Staff of Withering:	破壊の杖:
# M
AThe Mantle of Knowledge:	知識のマント:
# N
AThe Great Dagger of Glaurgnaa:	グラーグナーの短剣:
# P
AThe Mitre of Holiness:		聖なる冠:
# R
AThe Master Key of Thievery:	盗賊のマスターキー:
# S
AThe Tsurugi of Muramasa:	村正の刀:
# T
AThe Platinum Yendorian Express Card:	プラチナイェンダー印エクスプレスカード:
# U
AThe Stake of Van Helsing:	ヴァンヘルシングの杭:
# V
AThe Orb of Fate:		運命のオーブ:
# W
AThe Eye of the Aethiopica:	エチオピアの目:
#
# name of dungeon
#
dThe Dungeons of Doom:	運命の大迷宮:
dThe Gnomish Mines:	ノームの鉱山:
dThe Quest:		クエスト:
dGehennom:		ゲヘナ:
dFort Ludios:		フォートローディオス:
dVlad's Tower:		ヴラド候の塔:
dThe Elemental Planes:	精霊界:
#追加
dThe Orc Caverns:       オークの洞窟:
dThe Beholder Cave:     ビホルダーの洞窟:
dThe Lost Tomb:         失われた墓地:
dThe Sunless Sea:       暗黒の海:
dThe Spider Caves:      蜘蛛の洞窟:
dThe Temple of Moloch:  モーロックの寺院:
dThe Giant Caverns:     巨人の洞窟:
dThe Wyrm Caves:        竜の洞窟:
dOne-eyed Sam's Market: 片目のサムのマーケット:
#
# Symbols or other things name (this is not a object name (See: drawing.c))
#
Sstrange object:			奇妙な物体:
Sweapon:				武器:
Ssuit or piece of armor:		服または鎧のたぐい:
Sring:					指輪:
Samulet:				魔除け:	
Suseful item (pick-axe, key, lamp...):	便利な道具(つるはし，鍵，ランプ．．．):
Spiece of food:				食料:
Spotion:				薬:
Sscroll:				巻物:
Sspell book:				魔法の本:
Swand:					杖:
Spile of coins:				金貨の山:
Sgem or rock:				宝石または石:
Sboulder or statue:			岩または像:
Siron ball:				鉄の玉:
Siron chain:				鉄の鎖:
Ssplash of venom:			毒液:
#
Sillegal objects:	奇妙な物体:
Sweapons:		武器:
Sarmor:			鎧:
Srings:			指輪:
Samulets:		魔除け:
Stools:			道具:
Sfood:			食料:
Spotions:		薬:
Sscrolls:		巻物:
Sspell books:		魔法の本:
Swands:			杖:
Scoins:			金貨:
Srocks:			石:
Slarge stones:		巨石:
Siron balls:		鉄球:
Schains:		鎖:
Svenoms:		毒:
#
Sant or other insect:	蟻または他の昆虫:
Sblob:			ブロッブ:
Scockatrice:		コカトリス:
Sdog or other canine:	犬またはイヌ科の動物:
Seye or sphere:		目または球体:
Sfeline:		猫またはネコ科の動物:
Scat or other feline:	猫またはネコ科の動物:
Sgremlin:		グレムリン:
Shumanoid:		ヒューマノイド:
Simp or minor demon:	インプまたは下級悪魔:
Sjelly:			ゼリー:
Skobold:		コボルト:
Sleprechaun:		レプラコーン:
Smimic:			ミミック:
Snymph:			ニンフ:
Sorc:			オーク:	
Spiercer:		穴喰い:
Squadruped:		四足動物:
Srodent:		齧歯動物:
Sspider:		蜘:
Strapper or lurker above:	トラッパーまたはラーカー:
Sunicorn:		ユニコーン:
Svortex:		渦:
Sworm:			ワーム:
Sxan or other mythical/fantastic insect:	ザンまたは神話やファンタジーの昆虫:
Slight:			光:
Szruty:			ズルティ:
Sangelic being:		天使:
Sbat:			こうもり:
Scentaur:		ケンタウロス:
Sdragon:		ドラゴン:
Selemental:		精霊:
Sfungus or mold:	キノコまたはモールド:
Sgnome:			ノーム:
Sgiant humanoid:	巨人:
Sinvisible stalker:	透明ストーカー:
Sjabberwock:		ジャバウォック:
SKeystone Kop:		警備員:
Slich:			リッチ:
Smummy:			ミイラ:
Snaga:			ナーガ:
Sogre:			オーガ:
Spudding or ooze:	プリンまたはウーズ:
Squantum mechanic:	量子場:
Srust monster:		錆の怪物:
Ssnake:			ヘビ:
Stroll:			トロル:
Sumber hulk:		アンバーハルク:
Svampire:		吸血鬼:
Swraith:		レイス:
Sxorn:			ゾーン:
Syeti, ape or other large beast:	イエティまたは巨大な獣:
Szombie:		ゾンビ:
Shuman:			人間:
Shuman or elf:		人間またはエルフ:
Sghost:			幽霊:
Sgolem:			ゴーレム:
Sdemon:			悪魔:
Smajor demon:		悪魔:
Ssea monster:		海の怪物:
Slizard:		トカゲ:
Slong worm tail:	ロングワームの尻尾:
#
#	part of room
#
Sdark part of a room:	部屋の暗い部分:
Swall:			壁:
Sdoorway:		出入口:
Sopen door:		開いた扉:
Sclosed door:		閉じた扉:
Sfloor of a room:	部屋の床:
Scorridor:		通路:
Slit corridor:		明るい通路:
Sstaircase up:		上り階段:
Sstaircase down:	下り階段:
Sladder up:		上りはしご:
Sladder down:		下りはしご:
Strap:			罠:
Sweb:			蜘蛛の巣:
Saltar:			祭壇:
Sopulent throne:	華やかな玉座:
Ssink:			流し台:
Sfountain:		泉:
Swater filled area:	水のたまった場所:
Swater:			水のたまった場所:
Sice:			氷:
Smolten lava:		溶岩:
Slowered drawbridge:	降りている跳ね橋:
Sraised drawbridge:	上っている跳ね橋:
Sair filled area:	空気のたまった場所:
Sair:			空気のたまった場所:
Scloud filled area:	曇:
Scloud:			曇:
# 追加 by Ooi Takefumi
Sheadstone:		墓石:
Stoilet:		トイレ:
#
#	traps
#
^arrow trap:		矢の罠:
^dart trap:		投げ矢の罠:
^falling rock trap:	岩落しの罠:
^squeaky board:		きしむ板:
^beartrap:		熊の罠:
^bear trap:		熊の罠:
^land mine:		地雷:
^sleeping gas trap:	睡眠ガスの罠:
^hole:			穴:
^rust trap:		腐食の罠:
^fire trap:		火の罠:
^pit:			落し穴:
^spiked pit:		トゲだらけの落し穴:
^trapdoor:		落し扉:
^trap door:		落し扉:
^teleportation trap:	瞬間移動の罠:
^level teleporter:	別の階への瞬間移動の罠:
^magic portal:		魔法の入口:
^web:			蜘蛛の巣:
^statue trap:		彫像の罠:
^magic trap:		魔法の罠:
^anti-magic field:	反魔法空間の罠:
^anti-magic trap field:	反魔法空間の罠:
^polymorph trap:	変化の罠:
^rolling boulder trap:	落岩の罠:
